,,,,,,,,,,,,,,,,,,,,,
State Police Directive Required Annual FY Mileage Tracking Worksheet,,,,,,,,,,,,,,,,,,,,,
University Vehicles by Department,,,,,,,,,,,,,,,,,,,,,
,Vehicle Information,,,,,,,,,,,,,,,,,,,,
Department Name,VIN #,Vehicle #,License #,Pool/Leased Vehicle,Year,Make,Model,6/30/2021 Odometer Reading,6/30/2022 Odometer Reading,Annual Mileage,Annual FY Mileage Alternate Tracking Method - Outline below,,,,,,,,,,
FAC MGMT,1HSLRTVN8EHA57283,123,28 632S,,1984,International,S1900 Truck Tractor,"214,312","214,397",85, , ,,,,,,,,,777
FAC MGMT,2GTEC19V8211381136,325,44 343S,,2002,GMC,Sierra P/U,"43,991","43,991",0,Disposed 6/3/21, ,,,,,,,,,782
FAC MGMT,1GBHC24U94E302354,359,49 486S,,2004,Chevrolet,Silverado P/U,"54,414","54,414",0,Disposed 5.27.21, ,,,,,,,,,789
FAC MGMT,1GCCS148658271831,388,51 280S,,2005,Chevrolet,Colorado P/U,"55,598","55,598",0,Disposed 5.27.21, ,,,,,,,,,825
FAC MGMT,1GDHC24265E265075,392,51 296S,,2005,GMC,Sierra K2500 Utility Body,"73,965","75,866","1,901", , ,,,,,,,,,826
FAC MGMT,1FTRF14W85NA17388,473,49 975S,,2005,Ford,F150 4x4 P/U,"38,240","40,968","2,728", , ,,,,,,,,,827
FAC MGMT,1GDHC24U6E202265,419,53 375S,,2006,GMC,Sierra C2500 P/U,"58,814","63,557","4,743", , ,,,,,,,,,828
FAC MGMT,1FTWX315X6EB27092,597,50 746S,,2006,Ford,F350 4x4 P/U,"78,453","80,679","2,226", , ,,,,,,,,,836
FAC MGMT,1GCHC23U97F198170,426,54 649S,,2007,Chevrolet,Silverado P/U,"49,069","50,842","1,773", , ,,,,,,,,,867
FAC MGMT,1GCHC23U27F199645,427,50 256S,,2007,Chevrolet,Silverado P/U,"56,196","58,641","2,445", , ,,,,,,,,,876
FAC MGMT,1GDP7F13X7F419319,433,50 281S,,2007,GMC,"T7500 Cab, Chassis & Mulch Blower","15,348","15,812",464, , ,,,,,,,,,877
FAC MGMT,1FTNF20588ED38336,442,56 185S,,2008,Ford,F250 P/U,"73,027","76,270","3,243", , ,,,,,,,,,886
FAC MGMT,1FDXF47R88ED57042,445,56 200S,,2008,Ford,F450 Dump Truck,"31,304","33,444","2,140", , ,,,,,,,,,894
FAC MGMT,1GNDV23W080207000,450,57 955S,,2008,Chevrolet,Uplander LE       pass van,"28,447","29,295",848,, ,,,,,,,,,898
FAC MGMT,3FAHP06Z69R100658,449,73 101S,,2009,Ford,Fusion,"11,888","12,314",426,Disposal Pending, ,,,,,,,,,899
FAC MGMT,1GCEK14X99Z203037,465,57 090S,,2009,Chevrolet,Silverado P/U,"44,642","46,620","1,978", , ,,,,,,,,,905
FAC MGMT,1GCGG25CX91155218,466,57 093S,,2009,Chevrolet,Express 2500HD,"21,167","22,382","1,215", , ,,,,,,,,,918
FAC MGMT,1FMCU59349KB19307,954,50 080S,,2009,Ford,Escape Hybrid 4x4,"30,424","33,471","3,047", , ,,,,,,,,,919
FAC MGMT,1FTLR1EE3BPA39219,487,58 800S,,2011,Ford,Ranger P/U,"19,838","20,793",955, , ,,,,,,,,,920
FAC MGMT,1FMCU9C73BKB99191,489,60 095S,,2011,Ford,Escape,"23,792","25,422","1,630",Disposal Pending, ,,,,,,,,,955
FAC MGMT,1FMCU9C75BKB99192,490,60 096S,,2011,Ford,Escape,"30,023","32,937","2,914",Disposal Pending, ,,,,,,,,,957
FAC MGMT,1FDOW4GY4BEC41756,492,50 771S,,2011,Ford,F450,"27,290","30,046","2,756", , ,,,,,,,,,966
FAC MGMT,1FD0X5HT1BEC96106,496,60 057S,,2011,Ford,F550 4WD SD SC,"22,936","23,812",876, , ,,,,,,,,,969
FAC MGMT,1GTR1TEX7BZ185688,497,60 054S,,2011,GMC,Sierra  Ext Cab P/U,"28,345","30,270","1,925", , ,,,,,,,,,981
FAC MGMT,1GCWGFCA7B1149449,498,60 056S,,2011,Chevrolet,Express 2500HD Van,"82,542","85,242","2,700",Disposed 6.22.22, ,,,,,,,,,987
FAC MGMT,NM0KS9BN3BT062975,499,60 058S,,2011,Ford,Transit Connect XLT Wagon,"35,514","38,920","3,406", , ,,,,,,,,,988
FAC MGMT,1GD01ZCG2BF221976,500,60 060S,,2011,GMC,Sierra P/U,"48,409","50,644","2,235", , ,,,,,,,,,1001
FAC MGMT,1GD312CG9BF248144,503,60 059S,,2011,GMC,Sierra,"20,955","22,528","1,573", , ,,,,,,,,,1005
FAC MGMT,NM0KS9BN0BT066000,510,60 067S,,2011,Ford,Transit Connect Wagon,"29,467","31,369","1,902", , ,,,,,,,,,1016
FAC MGMT,NM0LS6BNXBT068095,511,60 065S,,2011,Ford,Transit Connect Wagon,"34,146","36,988","2,842", , ,,,,,,,,,1017
FAC MGMT,1GC0KVCG8BF165388,512,60 070S,,2011,Chevrolet,Silverado 2500 P/U,"73,782","80,751","6,969", , ,,,,,,,,,1021
FAC MGMT,NM0KS9CN6BT059213,518,60 071S,,2011,Ford,Transit Connect Wagon,"14,576","14,947",371, , ,,,,,,,,,1056
FAC MGMT,1GB3CZCG5BF260156,521,62 148S,,2011,Chevrolet,Silverado 3500 P/U,"32,469","34,143","1,674", , ,,,,,,,,,1057
FAC MGMT,1GD01ZCGXBF248083,524,60 075S,,2011,GMC,Sierra 2500,"47,167","51,189","4,022", , ,,,,,,,,,1064
FAC MGMT,1GD372BG1B1158936,525,620150S,,2011,GMC,Savana 3500 Box Van,"52,931","55,999","3,068", , ,,,,,,,,,1065
FAC MGMT,1GD01ZCG3BF264495,527,62 311S,,2011,GMC,Sierra P/U,"32,102","34,531","2,429", , ,,,,,,,,,
FAC MGMT,1GCNCPEX3BZ284007,737,73 148S,,2011,Chevrolet,Silverado 1500,"52,866","55,148","2,282", , ,,,,,,,,,
FAC MGMT, JALC4W161C7001580,515,60 068S,,2012,Isuzu,NPR Box Van,"39,691","43,533","3,842", , ,,,,,,,,,
FAC MGMT,1G1PC5SH6C7152696,522,60 073S,,2012,Chevrolet,Cruze,"26,637","27,269",632, , ,,,,,,,,,
FAC MGMT,1GCGTBF93C8114751,526,62 306S,,2012,Chevrolet,Colorado P/U,"15,303","17,678","2,375", , ,,,,,,,,,
FAC MGMT,NM0KS9CNXCT084200,530,62 336S,,2012,Ford,Transit Connect XLT Wagon,"30,102","33,440","3,338", , ,,,,,,,,,
FAC MGMT,NM0LS6BN6CT081833,531,62 335S,,2012,Ford,Transit Connect XLT Van,"38,916","40,843","1,927", , ,,,,,,,,,
FAC MGMT,1GD01ZCG6CF133515,532,62 656S,,2012,GMC,Sierra C2500 HD P/U Utility Body,"31,057","34,196","3,139", , ,,,,,,,,,
FAC MGMT,NM0LS6BN6CT082206,536,62 673S,,2012,Ford,Transit Connect XLT Van,"33,317","33,453",136, , ,,,,,,,,,
FAC MGMT,1GCCSBF92C8115309,538,62 672S,,2012,Chevrolet,Colorado P/U,"25,929","28,712","2,783", , ,,,,,,,,,
FAC MGMT,NM0KS9BN6CT090948,540,62 679S,,2012,Ford,Transit Connect XLT Wagon,"39,168","42,021","2,853", , ,,,,,,,,,
FAC MGMT,1GTW7GCA9C1149699,541,62 680S,,2012,GMC,Savana Van,"29,226","30,777","1,551", , ,,,,,,,,,
FAC MGMT,NM0LS6BN8CT089965,542,62 681S,,2012,Ford,Transit Connect XLT Van,"14,984","16,510","1,526", , ,,,,,,,,,
FAC MGMT,3GCPKSE73CG123205,544,63 656S,,2012,Chevrolet,Silverado 1500 LT Crew Cab 4WD,"14,831","16,882","2,051", , ,,,,,,,,,
