,,,,,,,,,,,,,,,,,,,
State Police Directive Required Annual FY Mileage Tracking Worksheet,,,,,,,,,,,,,,,,,,,
University Vehicles by Department,,,,,,,,,,,,,,,,,,,
,Vehicle Information,,,,,,,,,,,,,,,,,,
Department Name,VIN #,Vehicle #,License #,Pool/Leased Vehicle,Year,Make,Model,6/30/2024 Odometer Reading,6/30/2025 Odometer Reading,Annual Mileage,Annual FY Mileage Alternate Tracking Method - Outline below,,,,,,,,
FAC MGMT,1HSLRTVN8EHA57283,123,28 632S,,1984,International,S1900 Truck Tractor,"214,833","214,931",98, , ,,,,,,,
FAC MGMT,1FDXF47R88ED57042,445,56 200S,,2008,Ford,F450 Dump Truck,"39,587","45,537","5,950", , ,,,,,,,
FAC MGMT,1FTLR1EE3BPA39219,487,58 800S,,2011,Ford,Ranger P/U,"23,016","23,957",941, , ,,,,,,,
FAC MGMT,1FDOW4GY4BEC41756,492,60 055S,,2011,Ford,F450,"35,598","37,312","1,714", , ,,,,,,,
FAC MGMT,1GD01ZCG2BF221976,500,60 060S,,2011,GMC,Sierra P/U,"53,752","54,606",854, , ,,,,,,,
FAC MGMT,1GD312CG9BF248144,503,60 059S,,2011,GMC,Sierra,"25,383","26,966","1,583", , ,,,,,,,
FAC MGMT, JALC4W161C7001580,515,60 068S,,2012,Isuzu,NPR Box Van,"51,621","55,953","4,332", , ,,,,,,,
FAC MGMT,NM0KS9CN6BT059213,518,60 071S,,2011,Ford,Transit Connect Wagon,"15,702","16,489",787, , ,,,,,,,
FAC MGMT,1GD372BG1B1158936,525,62 150S,,2011,GMC,Savana 3500 Box Van,"64,116","70,152","6,036", , ,,,,,,,
FAC MGMT,1GCGTBF93C8114751,526,62 306S,,2012,Chevrolet,Colorado P/U,"21,302","22,136",835, , ,,,,,,,
FAC MGMT,1GD01ZCG3BF264495,527,62 311S,,2011,GMC,Sierra P/U,"39,451","42,144","2,693", , ,,,,,,,
FAC MGMT,1GD01ZCG6CF133515,532,62 656S,,2012,GMC,Sierra C2500 HD P/U Utility Body,"38,597","39,794","1,197", , ,,,,,,,
FAC MGMT,NM0LS6BN6CT082206,536,62 673S,,2012,Ford,Transit Connect XLT Van,"33,687","34,130",443, , ,,,,,,,
FAC MGMT,1GCCSBF92C8115309,538,62 672S,,2012,Chevrolet,Colorado P/U,"33,345","35,337","1,993", , ,,,,,,,
FAC MGMT,3GCPKSE73CG123205,544,63 656S,,2012,Chevrolet,Silverado 1500 LT Crew Cab 4WD,"23,544","26,075","2,531", , ,,,,,,,
FAC MGMT,1GB0CVCG3CF150414,548,63 683S,,2012,Chevrolet,Silverado 2500HD Reg. Cab Utility Body,"40,730","41,879","1,149", , ,,,,,,,
FAC MGMT,1GB0CVCG6CF134269,549,63 689S,,2012,Chevrolet,Silverado 2500HD Reg. Cab Utility Body,"31,601","35,859","4,258", , ,,,,,,,
FAC MGMT,1GD01ZCG0DF152854,565,64 332S,,2013,GMC,Sierra 2500 HD,"42,259","44,243","1,984", , ,,,,,,,
FAC MGMT,1GB0CVCG1DF184790,569,65 775S,,2013,Chevrolet,Silverado 2500HD Utility Body,"35,947","36,347",400,, ,,,,,,,
FAC MGMT,1GCWGFBA5E1115435,580,65 846S,,2014,Chevrolet,Express Cargo Van,"34,065","35,130","1,064", , ,,,,,,,
FAC MGMT,1GD322CGXEF150645,581,65 847S,,2014,GMC,Sierra 3500 w/dump,"46,784","51,334","4,550", , ,,,,,,,
FAC MGMT,NM0LS7DN3DT130149,583,67 460S,,2013,Ford,Transit Connect XLT,"21,773","23,012","1,240", , ,,,,,,,
FAC MGMT,1GNSHBF46E1164546,584,67 452S,,2014,Chevrolet,Express 1500 Van,"22,670","23,721","1,051", , ,,,,,,,
FAC MGMT,1FTFW1EF3EFB11058,586,67 449S,,2014,Ford,F150 4x4 P/U       Crew Cab,"26,245","30,177","3,932", , ,,,,,,,
FAC MGMT,1FT7X2A61FEA35344,589,67 492S,,2015,Ford,F250 Supercab P/U,"30,801","33,064","2,263", , ,,,,,,,
FAC MGMT,1FT7X2A6XFEA41417,590,67 474S,,2015,Ford,F250 Supercab P/U,"33,328","35,345","2,017", , ,,,,,,,
FAC MGMT,1FDRF3HT3FEA23785,591,67 476S,,2015,Ford,F350 4X4,"45,351","48,527","3,176", , ,,,,,,,
FAC MGMT,1FVHCYCY5EHFR8547,593,67 490S,,2014,Freightliner,Crane Truck,"7,459","7,503",43, , ,,,,,,,
FAC MGMT,1FT7X2A6XFEA59089,594,67 491S,,2015,Ford,F250 Supercab,"49,454","52,609","3,155", , ,,,,,,,
FAC MGMT,1FTBF2B63FEA41416,595,67 489S,,2015,Ford,F250 4X4,"39,193","45,111","5,918", , ,,,,,,,
FAC MGMT,1FDWE3FL3EDA82851,598,68 106S,,2014,Ford,E350 Cutaway,"49,613","54,994","5,381", , ,,,,,,,$0.00
FAC MGMT,1N6BD0CT2EN740014,599,68 111S,,2014,Nissan,Frontier S,"22,602","23,680","1,078", , ,,,,,,,
FAC MGMT,1FM5K8B87FGA41755,600,68 110S,,2015,Ford,Explorer,"16,835","19,699","2,864", , ,,,,,,,
FAC MGMT,NM0LE6E7XE1154768,635,68 115S,,2014,Ford,Transit Connect XL Van,"43,210","44,153",943, , ,,,,,,,
FAC MGMT,NM0AE8F71E1151145,636,68 122S,,2014,Ford,Transit Connect XLT Wagon,"26,439","28,803","2,364", , ,,,,,,,
FAC MGMT,1FDUF5HY5FEA99008,637,68 153S,,2015,Ford,F-550,"46,726","51,605","4,879", , ,,,,,,,
FAC MGMT,1GB3KYCG7FF525470,639,68 158S,,2015,Chevrolet,Silverado 4WD,"56,694","61,005","4,311", , ,,,,,,,
FAC MGMT,1GB3KYCG0FF506386,640,68 166S,,2015,Chevrolet,Silverado 3500 4WD,"23,221","25,526","2,305", , ,,,,,,,
FAC MGMT,1FDRF3H63FEB37733,641,68 165S,,2015,Ford,F350,"37,134","39,780","2,646", , ,,,,,,,
FAC MGMT,NM0LS7E75F1177066,643,68 193S,,2015,Ford,Transit Connect XL Van,"30,094","33,877","3,783", , ,,,,,,,
FAC MGMT,NM0LS7E78F1177062,644,68 200S,,2015,Ford,Transit Connect XL Van,"41,418","43,460","2,042", , ,,,,,,,
FAC MGMT,NM0LS7E71F1187836,647,68 199S,,2015,Ford,Transit Connect XL Van,"14,826","15,826","1,000", , ,,,,,,,
FAC MGMT,2G1WA5E31F1136845,650,68 867S,,2015,Chevrolet,Impala,"9,495","9,495",0, , ,,,,,,,
FAC MGMT,1GCWGFCG1F1210000,652,69 471S,,2015,Chevrolet,Express 2500,"24,494","25,653","1,159", , ,,,,,,,
FAC MGMT,NM0LS7E76F1208020,654,69 497S,,Ford,2015,Transit Connect XL Van,"28,383","33,111","4,727", , ,,,,,,,
FAC MGMT,1GTH6AEA1F1155104,657,69 917S,,2015,GMC,Canyon,"25,543","27,777","2,234", , ,,,,,,,
FAC MGMT,1GTH5BEA6G1112498,659,69 938S,,2016,GMC,Canyon Ext Cab,"21,520","23,828","2,308", , ,,,,,,,
FAC MGMT,1GC4KYCG3FF649865,660,69 919S,,2015,Chevrolet,Silverado Crew Cab,"26,411","29,486","3,075", , ,,,,,,,
FAC MGMT,1FTNR2CM3FKB11211,661,69 920S,,2015,Ford,Transit 250 Mid Roof,"24,879","26,465","1,586", , ,,,,,,,
FAC MGMT,1GD01XEG7FZ523091,662,69 940S,,2015,GMC,Sierra 2500,"46,443","50,628","4,185", , ,,,,,,,
FAC MGMT,3GCPCPEHXFG397458,663,70 453S,,2015,Chevrolet,Silverado 1500,"58,202","62,012","3,810", , ,,,,,,,
FAC MGMT,1FM5K8B87GGA78497,664,70 474S,,2016,Ford,Explorer,"11,368","14,326","2,958", , ,,,,,,,
FAC MGMT,1FTYE1ZM2GKA06459,665,70 476S,,2016,Ford,Transit,"25,950","28,236","2,286", , ,,,,,,,
FAC MGMT,1GC0KUEG4FZ103210,666,70 473S,,2015,Chevrolet,Silverado 2500,"18,477","20,290","1,813", , ,,,,,,,
FAC MGMT,1GB0CUEG6FZ515694,667,70 478S,,2015,Chevrolet,Silverado 2500,"41,047","45,063","4,016", , ,,,,,,,
FAC MGMT,1GT02VEG3GZ160764,668,70 479S,,2016,GMC,Sierra 3500,"8,295","9,253",958, , ,,,,,,,
FAC MGMT,1C4NJDBB8GD632448,670,70 496S,,2016,Jeep,Compass,"19,760","21,421","1,660", , ,,,,,,,
FAC MGMT,3N63M0YN0FK726313,671,70 495S,,2015,Chevrolet,City Express LS,"10,231","11,341","1,110", , ,,,,,,,
FAC MGMT,NM0LS7E7XG1242088,674,71 055S,,2016,Ford,Transit Connect XL,"30,187","34,436","4,250", , ,,,,,,,
FAC MGMT,NM0AE8F75G1241496,675,71 054S,,2016,Ford,Transit Connect XLT Wagon,"14,348","15,594","1,246", , ,,,,,,,
FAC MGMT,1C4NJDBB6GD581581,677,71 098S,,2016,Jeep,Compass Sport,"20,105","20,931",826, , ,,,,,,,
FAC MGMT,1FTYE1ZM9GKA99237,679,71 969S,,2016,Ford,Transit,"9,340","10,251",910, , ,,,,,,,
FAC MGMT,1FTYE1ZM2GKA99242,680,71 968S,,2016,Ford,Transit,"25,640","28,512","2,872", , ,,,,,,,
FAC MGMT,1GC1CUEG9GF199758,681,71 970S,,2016,Chevrolet,Silverado 2500,"20,143","21,182","1,039", , ,,,,,,,
FAC MGMT,1GCHTBE3XG1297131,687,71 991S,,2016,Chevrolet,Colorado Ext Cab P/U,"29,063","31,511","2,448", , ,,,,,,,
FAC MGMT,1FD8X3HT4GEC33077,688,72 796S,,2016,Ford,F350 Extd Cab,"46,081","52,608","6,527", , ,,,,,,,
FAC MGMT,NM0GE9E70G1276660,689,71 992S,,2016,Ford,Transit Connect XL Wagon LWB,"11,517","12,688","1,171", , ,,,,,,,
FAC MGMT,NM0LS7E78G1278748,700,72 789S,,2016,Ford,Transit Connect XL Van,"22,323","24,955","2,633", , ,,,,,,,
FAC MGMT,1GT11REG5GF278220,702,72 790S,,2016,GMC,Sierra Crew Cab w/liftgate,"18,880","20,705","1,826", , ,,,,,,,
FAC MGMT,1FTBF2A68HEE58258,703,74 162S,,2017,Ford,F250 w/tommy gate lift gate,"28,415","30,203","1,788", , ,,,,,,,
FAC MGMT,1FDUF5HYXHEB93114,706,72 795S,,2017,Ford,F550 4x4 DumpTruck,"39,122","41,621","2,500", , ,,,,,,,
FAC MGMT,NM0LS7E75G1291375,708,73 105S,,2016,Ford,Transit Connect Van,"15,881","19,505","3,624", , ,,,,,,,
FAC MGMT,1GTH5BEA8G1383479,709,73 106S,,2016,GMC,Canyon,"17,976","20,666","2,690", , ,,,,,,,
FAC MGMT,NM0LS7E74G1259209,712,73 109S,,2016,Ford,Transit Connect XL Van LWB,"19,492","21,146","1,654", , ,,,,,,,
FAC MGMT,1FTYR1CM9GKB14042,714,73 115S,,2016,Ford,Transit Van,"17,659","19,491","1,832", , ,,,,,,,
FAC MGMT,1FTYR1CM5GKA99264,717,73 124S,,2016,Ford,Transit 250 Van,"37,034","41,698","4,663", , ,,,,,,,
FAC MGMT,NM0LS7E75G1241463,718,73 118S,,2016,Ford,Transit Connect XL Van LWB,"29,416","33,654","4,238", , ,,,,,,,
