,,,,,,,,,,,,,,,,,,,,,
State Police Directive Required Annual FY Mileage Tracking Worksheet,,,,,,,,,,,,,,,,,,,,,
University Vehicles by Department,,,,,,,,,,,,,,,,,,,,,
,Vehicle Information,,,,,,,,,,,,,,,,,,,,
Department Name,VIN #,Vehicle #,License #,Pool/Leased Vehicle,Year,Make,Model,6/30/2023 Odometer Reading,"ACTUAL
2023 mileage",6/30/2024 Odometer Reading,"REVISED 
Annual Mileage",Annual Mileage,Annual FY Mileage Alternate Tracking Method - Outline below,,,,,,,,
FAC MGMT,1FTYR2YM9JKA44502,782,75 601S,,2018,Ford,Transit 250         cargo van,"91,641","91,641","111,234","19,593","19,593",, ,,,,,,,
FAC MGMT,1FTYR1ZM8JKB37990,915,78 565S,,2018,Ford,Transit250,"49,186","49,186","60,960","11,774","11,774",, ,,,,,,,
FAC MGMT,1GCWGAFP1P1156665,1085,84 064S,,2023,Chevrolet,Express cargo van,153,225,"11,523","11,298","11,370",, ,,,,,,,
FAC MGMT,1FDBF2B68KEF81771,881,76 547S,,2019,Ford,F250 4x4 w/lift gate,"13,533","13,533","23,751","10,218","10,218",, ,,,,,,,
FAC MGMT,1FTYR1YM4JKB16569,916,78 562S,,2018,Ford,Transit250,"37,374","37,374","46,651","9,277","9,277",, ,,,,,,,
FAC MGMT,NM0LS6BN6CT081833,531,62 335S,,2012,Ford,Transit Connect XLT Van,"47,255","47,255","55,971","8,716","8,716", , ,,,,,,,
FAC MGMT,1FTYR2ZM1JKA84295,872,76 523S,,2018,Ford,Transit250 Low Roof Cargo Van,"54,958","54,958","63,348","8,390","8,390",, ,,,,,,,
FAC MGMT,54DCDW1B2KS807501,895,78 555S,,2019,Chevrolet,"4500 LCF 16"" Box Van w/liftgate","23,768","23,768","31,903","8,134","8,134",, ,,,,,,,
FAC MGMT,2C4RC1H78JR172659,918,78 561S,,2018,Chrysler,Pacifica Hybrid,"9,729","9,729","17,734","8,005","8,005",, ,,,,,,,
FAC MGMT,3ALACWFC6JDJX4023,766,74 174S,,2018,Freightliner,M2 106 Truck w/Heil PT 1000 13 cubic yard compactor,"52,299","52,299","59,838","7,539","7,539",, ,,,,,,,
FAC MGMT,1FDUF5HY6KDA03029,820,76 517S,,2019,Ford,F550 w/Terex LT40 Bucket,"29,555","29,555","36,675","7,120","7,120",, ,,,,,,,
FAC MGMT,1FTYR1ZM9KKB34856,935,78 581S,,2019,Ford,Transit250,"18,309","18,309","25,112","6,802","6,802",, ,,,,,,,
FAC MGMT,1FTMF1CB6KKE70849,888,78 553S,,2019,Ford,F150,"17,845","17,845","24,567","6,722","6,722",, ,,,,,,,
FAC MGMT,1FT7X2B61KEF19944,874,78 552S,,2019,Ford,F250,"17,151","17,151","23,404","6,253","6,253",, ,,,,,,,
FAC MGMT,1FT7W2A63NEC15930,967,80 734S,,2022,Ford,F250 Utility Body Truck,"11,074","11,074","17,137","6,063","6,063",, ,,,,,,,
FAC MGMT,1GCHTAEA7F1159909,645,68 198S,,2015,Chevrolet,Colorado Ext Cab P/U,"65,490","65,490","71,518","6,028","6,028", , ,,,,,,,
FAC MGMT,1FD8X3HT4GEC33077,688,72 796S,,2016,Ford,F350 Extd Cab,"40,159","40,159","46,081","5,922","5,922", , ,,,,,,,
FAC MGMT,1FDUF5HYXHEB93114,706,72 795S,,2017,Ford,F550 4x4 DumpTruck,"33,441","33,441","39,122","5,681","5,681", , ,,,,,,,
FAC MGMT,NM0LS7E75G1241463,718,73 118S,,2016,Ford,Transit Connect XL Van LWB,"23,774","23,774","29,416","5,642","5,642", , ,,,,,,,
FAC MGMT,1FDBF2A66KEC61172,825,76 513S,,2019,Ford,F250 w/XLHybrid System,"23,406","23,406","29,021","5,614","5,614",, ,,,,,,,
FAC MGMT,NM0LE6E7XE1154768,635,68 115S,,2014,Ford,Transit Connect XL Van,"37,639","37,639","43,210","5,572","5,572", , ,,,,,,,
FAC MGMT,1FDWE3FL3EDA82851,598,68 106S,,2014,Ford,E350 Cutaway,"44,092","44,092","49,613","5,521","5,521", , ,,,,,,,$0.00
FAC MGMT, JALC4W161C7001580,515,60 068S,,2012,Isuzu,NPR Box Van,"46,193","46,193","51,621","5,429","5,429", , ,,,,,,,
FAC MGMT,1FTBF2B62KED14369,866,76 509S,,2019,Ford,F250 4x4 sing cab long bed,"21,667","21,667","26,984","5,318","5,318",, ,,,,,,,
FAC MGMT,NM0LS7E70G1252063,736,73 139S,,2016,Ford,Transit Connect XL Van LWB,"29,338","29,338","34,598","5,260","5,260", , ,,,,,,,
FAC MGMT,1FTEX1C56MKD59832,942,80 712S,,2021,Ford,F150 Ext Cab,"8,432","8,432","13,583","5,151","5,151",, ,,,,,,,
FAC MGMT,1N6BD0CT0HN734460,862,75 640S,,2017,Nissan,Frontier              King Cab 4x2,"19,625","19,625","24,766","5,141","5,141",, ,,,,,,,
FAC MGMT,3GCPCPEHXFG397458,663,70 453S,,2015,Chevrolet,Silverado 1500,"53,078","53,078","58,202","5,124","5,124", , ,,,,,,,
FAC MGMT,1FDWE3F61KDC08565,828,76 519S,,2019,Ford,F350 Box Van w/rail liftgate & XLHybrid System,"18,897","18,897","23,838","4,941","4,941",, ,,,,,,,
FAC MGMT,1FTBF2B6XJEB31462,769,74 176S,,2018,Ford,F250 4x4 P/U,"18,373","18,373","23,202","4,829","4,829",, ,,,,,,,
FAC MGMT,1GD372BG1B1158936,525,62 150S,,2011,GMC,Savana 3500 Box Van,"59,307","59,307","64,116","4,809","4,809", , ,,,,,,,
FAC MGMT,1FDUF5HY5FEA99008,637,68 153S,,2015,Ford,F-550,"41,985","41,985","46,726","4,741","4,741", , ,,,,,,,
FAC MGMT,1FTFW1EF3EFB11058,586,67 449S,,2014,Ford,F150 4x4 P/U       Crew Cab,"21,516","21,516","26,245","4,730","4,730", , ,,,,,,,
FAC MGMT,1GB3KYCG7FF525470,639,68 158S,,2015,Chevrolet,Silverado 4WD,"51,982","51,982","56,694","4,712","4,712", , ,,,,,,,
FAC MGMT,ZFBERFAT8G6B83720,751,74 157S,,2016,Dodge,Ram Promaster City Cargo Van,"26,438","26,438","31,147","4,709","4,709",, ,,,,,,,
FAC MGMT, 1N6BD0CT5GN711450,757,74 171S,,2016,Nissan,Frontier P/U,"32,450","32,450","37,078","4,628","4,628",, ,,,,,,,
FAC MGMT,1FDUF4HY8HEB86124,720,73 121S,,2017,Ford,F450 Dump Truck w/salt spreader,"27,313","27,313","31,925","4,612","4,612", , ,,,,,,,
FAC MGMT,NM0LS7S29N1540962,1007,83 442S,,2022,Ford,Transit Connect,"1,979","1,979","6,540","4,561","4,561",, ,,,,,,,
FAC MGMT,1FTYR1CM5GKA99264,717,73 124S,,2016,Ford,Transit 250 Van,"32,481","32,481","37,034","4,553","4,553", , ,,,,,,,
FAC MGMT,NM0LS7E7XG1242088,674,71 055S,,2016,Ford,Transit Connect XL,"25,673","25,673","30,187","4,514","4,514", , ,,,,,,,
FAC MGMT,1FTYR1YM2HKA71030,776,74 179S,,2017,Ford,Transit 250         cargo van,"27,101","27,101","31,614","4,513","4,513",, ,,,,,,,
FAC MGMT,1GB3GSCG5H1239910,758,74 167S,,2017,Chevrolet,Express 3500 Box Van,"34,976","34,976","39,416","4,439","4,439",, ,,,,,,,
FAC MGMT,1GB3G2CG8E1199172,638,68 152S,,2014,Chevrolet,G35 Express,"52,660","52,660","57,096","4,436","4,436", , ,,,,,,,
FAC MGMT,1GD01XEG7FZ523091,662,69 940S,,2015,GMC,Sierra 2500,"42,121","42,121","46,443","4,322","4,322", , ,,,,,,,
FAC MGMT,1N6ED0CF2MN705527,978,80 720S,,2021,Nissan,Frontier Ext Cab 4x4 P/U,"6,690","6,690","10,957","4,267","4,267",, ,,,,,,,
FAC MGMT,1FDRF3A66LED09646,923,78 579S,,2020,Ford,F350 reg. cab w/utility body & lift gate,"13,604","13,604","17,870","4,266","4,266",, ,,,,,,,
FAC MGMT,1FTBF2B66HED45262,731,73 134S,,2017,Ford,F250 4x4 Reg Cab SS SRW,"26,454","26,454","30,707","4,253","4,253", , ,,,,,,,
FAC MGMT,1FDUF4HY2HEB80108,726,73 127S,,2017,Ford,F450 4x4 Reg Chasis Cab,"21,398","21,398","25,565","4,166","4,166", , ,,,,,,,
FAC MGMT,NM0LS7E76F1208020,654,69 497S,,Ford,2015,Transit Connect XL Van,"24,231","24,231","28,383","4,152","4,152", , ,,,,,,,
